"filename", "language", "JSON", "XML", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assembly-CSharp.csproj", "XML", 0, 1485, 0, 0, 1, 1, 1487
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Camera\CameraController.cs", "C#", 0, 0, 17, 0, 0, 3, 20
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Currency\BillSystem\BillSystem.cs", "C#", 0, 0, 41, 0, 0, 14, 55
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Currency\CurrencyManager.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\DevilSystem\DevilScreen.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\DevilSystem\DevilSystem.cs", "C#", 0, 0, 45, 0, 0, 13, 58
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Interactable\Interactable.cs", "C#", 0, 0, 10, 0, 0, 3, 13
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Interactable\Interactions\ChestInterHandler.cs", "C#", 0, 0, 25, 0, 0, 7, 32
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\ItemData.cs", "C#", 0, 0, 19, 0, 0, 7, 26
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\ItemGroupAPI.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\ItemSystem.cs", "C#", 0, 0, 32, 0, 0, 10, 42
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\Usable\Logics\KillLogic.cs", "C#", 0, 0, 31, 0, 0, 11, 42
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\Usable\Logics\PlacebleLogic.cs", "C#", 0, 0, 33, 0, 2, 13, 48
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\Usable\Usable.cs", "C#", 0, 0, 13, 0, 0, 4, 17
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Inventory\Items\Usable\UsableLogic.cs", "C#", 0, 0, 9, 0, 0, 4, 13
