"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assembly-CSharp.csproj", "XML", 4, 0, 0, 0, 4
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\DevilSystem\DevilSystem.cs", "C#", 0, 14, 0, 5, 19
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\InvestSystem\InvestScreen.cs", "C#", 0, 13, 0, 3, 16
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\InvestSystem\InvestSystem.cs", "C#", 0, 44, 0, 12, 56
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\PriceSystem\PriceSystem.cs", "C#", 0, 36, -3, 0, 33
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\BuySystem.cs", "C#", 0, 9, 0, 2, 11
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Shop\Computer\ShopItem.cs", "C#", 0, 4, 0, 1, 5
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\AI\AISystem.cs", "C#", 0, 4, 0, 1, 5
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\AI\PoliceContoller.cs", "C#", 0, 247, 24, 50, 321
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\InvestComponent.cs", "C#", 0, 35, 0, 8, 43
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\Unit\Unit.cs", "C#", 0, 1, 0, 1, 2
"c:\Users\Lenovo\Desktop\Programing\GameDev\Unity\DevilsTownProt\Assets\Features\WinLoseSystem\EndSystem.cs", "C#", 0, 4, 0, 1, 5
"Total", "-", 4, 411, 21, 84, 520
